GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
aquitectura-limpia,com.arquitectura.hexagonal.administracion.infraestructura.controlador,FindImagenByIdController,0,15,0,0,0,2,0,2,0,2
aquitectura-limpia,com.arquitectura.hexagonal.administracion.infraestructura.controlador,FindAllImagenController,9,14,0,0,1,2,1,2,1,2
aquitectura-limpia,com.arquitectura.hexagonal.administracion.infraestructura.controlador,DeleteImagenController,0,11,0,0,0,3,0,2,0,2
aquitectura-limpia,com.arquitectura.hexagonal.administracion.infraestructura.controlador,SaveImagenController,0,30,0,0,0,3,0,2,0,2
aquitectura-limpia,com.arquitectura.hexagonal.administracion.infraestructura.controlador,UpdateImagenController,0,31,0,0,0,3,0,2,0,2
aquitectura-limpia,com.arquitectura.hexagonal.administracion.dominio.servicio,DeleteImagenServicio,0,28,0,2,0,10,0,4,0,3
aquitectura-limpia,com.arquitectura.hexagonal.administracion.dominio.servicio,FindImagenService,0,37,0,2,0,11,0,6,0,5
aquitectura-limpia,com.arquitectura.hexagonal.administracion.dominio.servicio,SaveImagenServicio,0,43,0,4,0,13,0,6,0,4
aquitectura-limpia,com.arquitectura.hexagonal.administracion.dominio.servicio,UpdateImagenServicio,5,55,2,6,2,15,2,7,0,5
aquitectura-limpia,com.arquitectura.hexagonal.administracion.dominio.modelo,ImagenMongo,0,33,0,0,0,12,0,6,0,6
