GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
aquitectura-limpia,com.arquitectura.hexagonal.administracion.infraestructura.controlador,FindPersonaByIdController,0,16,0,0,0,2,0,2,0,2
aquitectura-limpia,com.arquitectura.hexagonal.administracion.infraestructura.controlador,SavePersonaController,0,15,0,0,0,2,0,2,0,2
aquitectura-limpia,com.arquitectura.hexagonal.administracion.infraestructura.controlador,FindAllPersonaController,0,14,0,0,0,2,0,2,0,2
aquitectura-limpia,com.arquitectura.hexagonal.administracion.infraestructura.controlador,FindPersonasByDocumentoController,0,15,0,0,0,2,0,2,0,2
aquitectura-limpia,com.arquitectura.hexagonal.administracion.infraestructura.controlador,UpdatePersonaController,0,15,0,0,0,2,0,2,0,2
aquitectura-limpia,com.arquitectura.hexagonal.administracion.infraestructura.controlador,DeletePersonaController,0,11,0,0,0,3,0,2,0,2
aquitectura-limpia,com.arquitectura.hexagonal.administracion.dominio.servicio,UpdatePersonaService,0,35,1,3,0,9,1,4,0,3
aquitectura-limpia,com.arquitectura.hexagonal.administracion.dominio.servicio,FindPersonaService,0,40,0,4,0,12,0,6,0,4
aquitectura-limpia,com.arquitectura.hexagonal.administracion.dominio.servicio,SavePersonaService,0,29,0,2,0,9,0,4,0,3
aquitectura-limpia,com.arquitectura.hexagonal.administracion.dominio.servicio,DeletePersonaService,0,26,0,2,0,9,0,4,0,3
